nama_daerah,AHHL,AHHP,HLS,IPM,PPM,Predicted_ANN
Kota Depok,72.87,76.6,14.11,82.91,2.34,Tidak Perlu Pembangunan
Kota Dumai,68.98,72.88,13.35,76.19,3.14,Tidak Perlu Pembangunan
Kota Gorontalo,70.66,74.38,14.59,79.18,5.74,Tidak Perlu Pembangunan
Kota Gunungsitoli,69.34,73.2,13.79,71.41,14.72,Tidak Perlu Pembangunan
Kota Jakarta Barat,71.82,75.49,13.14,83.64,3.94,Tidak Perlu Pembangunan
Kota Jakarta Pusat,72.3,76.0,13.31,83.01,4.63,Tidak Perlu Pembangunan
Kota Jakarta Selatan,72.33,76.12,13.94,86.94,3.03,Tidak Perlu Pembangunan
Kota Jakarta Timur,72.7,76.27,14.07,84.65,4.09,Tidak Perlu Pembangunan
Kota Jakarta Utara,71.44,75.22,12.7,81.39,6.44,Tidak Perlu Pembangunan
Kota Jambi,70.82,74.58,15.55,81.04,7.73,Tidak Perlu Pembangunan
Kota Jayapura,68.45,72.46,15.27,81.67,10.72,Tidak Perlu Pembangunan
Kota Kediri,72.11,75.88,15.71,81.35,6.51,Tidak Perlu Pembangunan
Kota Kendari,71.81,75.86,16.92,85.33,4.23,Tidak Perlu Pembangunan
Kota Kotamobagu,68.59,72.48,13.05,75.27,5.12,Tidak Perlu Pembangunan
Kota Kupang,67.77,71.59,16.54,81.08,8.24,Tidak Perlu Pembangunan
Kota Langsa,67.42,71.35,15.71,78.81,10.33,Tidak Perlu Pembangunan
Kota Lhokseumawe,69.7,73.52,15.55,79.55,10.44,Tidak Perlu Pembangunan
Kota Lubuklinggau,67.26,71.31,13.69,76.82,11.14,Tidak Perlu Pembangunan
Kota Madiun,70.89,74.69,14.54,83.48,4.38,Tidak Perlu Pembangunan
Kota Magelang,75.11,78.82,14.62,82.15,5.94,Tidak Perlu Pembangunan
Kota Malang,71.4,75.22,15.79,84.06,3.91,Tidak Perlu Pembangunan
Kota Manado,69.92,73.76,14.2,80.63,5.43,Tidak Perlu Pembangunan
Kota Mataram,69.98,73.74,15.68,80.6,8.0,Tidak Perlu Pembangunan
Kota Medan,71.37,75.07,14.79,82.76,7.94,Tidak Perlu Pembangunan
Kota Metro,69.69,73.55,14.79,78.93,6.78,Tidak Perlu Pembangunan
Kota Mojokerto,71.43,75.23,14.13,80.92,5.57,Tidak Perlu Pembangunan
Kota Padang,71.83,75.46,16.57,83.99,4.06,Tidak Perlu Pembangunan
Kota Padang Panjang,70.87,74.63,15.47,80.17,5.31,Tidak Perlu Pembangunan
Kota Padangsidimpuan,67.34,71.43,14.62,76.96,6.23,Tidak Perlu Pembangunan
Kota Pagar Alam,64.86,68.78,13.5,71.19,8.18,Perlu Pembangunan
Kota Palangka Raya,71.26,75.09,15.13,82.2,3.52,Tidak Perlu Pembangunan
Kota Palembang,69.01,72.93,14.46,80.57,9.77,Tidak Perlu Pembangunan
Kota Palopo,68.93,72.8,15.13,79.94,7.35,Tidak Perlu Pembangunan
Kota Palu,69.01,72.99,16.52,82.88,5.94,Tidak Perlu Pembangunan
Kota Pangkal Pinang,71.48,75.23,13.3,80.4,4.04,Tidak Perlu Pembangunan
Kota Parepare,69.33,73.18,14.55,79.64,5.27,Tidak Perlu Pembangunan
Kota Pariaman,68.26,72.3,14.8,78.88,4.26,Tidak Perlu Pembangunan
Kota Pasuruan,69.61,73.47,13.67,77.75,6.32,Tidak Perlu Pembangunan
Kota Payakumbuh,71.96,75.65,14.57,80.61,5.19,Tidak Perlu Pembangunan
Kota Pekalongan,72.54,76.26,12.89,77.22,6.71,Tidak Perlu Pembangunan
Kota Pekanbaru,70.51,74.26,15.84,82.89,3.15,Tidak Perlu Pembangunan
Kota Pematang Siantar,71.9,75.58,14.61,81.17,7.2,Tidak Perlu Pembangunan
Kota Pontianak,71.15,74.91,15.06,81.57,4.2,Tidak Perlu Pembangunan
Kota Prabumulih,68.47,72.37,13.41,77.08,10.13,Tidak Perlu Pembangunan
Kota Probolinggo,68.3,72.27,13.98,76.27,6.18,Tidak Perlu Pembangunan
Kota Sabang,68.55,72.46,14.97,78.32,14.58,Tidak Perlu Pembangunan
Kota Salatiga,75.5,79.44,15.46,85.72,4.57,Tidak Perlu Pembangunan
Kota Samarinda,72.62,76.23,15.4,82.81,4.3,Tidak Perlu Pembangunan
Kota Sawah Lunto,68.15,71.99,13.86,75.13,2.33,Tidak Perlu Pembangunan
Kota Semarang,75.79,79.43,15.57,85.25,4.03,Tidak Perlu Pembangunan
Kota Serang,65.91,70.06,12.83,73.99,5.65,Tidak Perlu Pembangunan
Kota Sibolga,67.29,71.18,13.43,75.66,11.39,Tidak Perlu Pembangunan
Kota Singkawang,70.27,74.08,12.95,73.87,4.53,Tidak Perlu Pembangunan
Kota Solok,71.83,75.56,14.37,80.0,3.07,Tidak Perlu Pembangunan
Kota Sorong,69.01,72.87,14.43,79.93,13.67,Tidak Perlu Pembangunan
Kota Subulussalam,62.14,65.91,15.31,68.04,16.38,Perlu Pembangunan
Kota Sukabumi,70.75,74.44,13.62,76.85,7.2,Tidak Perlu Pembangunan
Kota Sungai Penuh,70.31,74.1,14.84,77.4,2.92,Tidak Perlu Pembangunan
Kota Surabaya,72.27,75.97,14.87,84.14,3.96,Tidak Perlu Pembangunan
Kota Surakarta,75.57,79.23,15.07,84.4,8.31,Tidak Perlu Pembangunan
Kota Tangerang,69.61,73.49,13.9,80.02,5.43,Tidak Perlu Pembangunan
Kota Tangerang Selatan,70.55,74.31,14.7,82.89,2.36,Tidak Perlu Pembangunan
Kota Tanjung Balai,61.58,65.27,13.15,71.1,11.97,Perlu Pembangunan
Kota Tanjung Pinang,70.21,74.05,14.18,80.63,6.86,Tidak Perlu Pembangunan
Kota Tarakan,73.46,74.54,14.22,77.96,5.56,Tidak Perlu Pembangunan
Kota Tasikmalaya,70.52,74.21,13.5,75.04,11.1,Tidak Perlu Pembangunan
Kota Tebing Tinggi,69.02,72.85,13.13,77.45,8.79,Tidak Perlu Pembangunan
Kota Tegal,72.66,76.46,13.25,77.43,7.64,Tidak Perlu Pembangunan
Kota Ternate,69.08,72.95,15.92,82.12,3.14,Tidak Perlu Pembangunan
Kota Tidore Kepulauan,67.46,71.33,14.49,72.91,6.56,Tidak Perlu Pembangunan
Kota Tomohon,70.07,73.9,14.38,78.89,5.38,Tidak Perlu Pembangunan
Kota Tual,63.72,67.54,14.02,70.21,20.01,Perlu Pembangunan
Kota Yogyakarta,72.92,76.4,17.66,88.77,6.26,Tidak Perlu Pembangunan
Kotawaringin Barat,68.66,72.59,12.78,74.44,4.11,Tidak Perlu Pembangunan
Kotawaringin Timur,67.85,71.82,12.89,72.66,5.66,Tidak Perlu Pembangunan
Kuantan Singingi,66.43,70.54,13.38,72.33,7.89,Tidak Perlu Pembangunan
Kubu Raya,68.6,72.64,13.9,70.25,4.08,Tidak Perlu Pembangunan
Kudus,74.87,78.66,13.28,77.22,7.23,Tidak Perlu Pembangunan
Kulon Progo,73.39,77.18,14.49,76.14,15.62,Tidak Perlu Pembangunan
Kuningan,71.98,75.61,12.27,71.26,11.88,Tidak Perlu Pembangunan
Kupang,63.01,66.68,13.9,66.57,21.37,Perlu Pembangunan
Kutai Barat,71.13,74.95,13.36,74.5,9.56,Tidak Perlu Pembangunan
Kutai Kartanegara,70.67,74.5,13.65,75.91,7.28,Tidak Perlu Pembangunan
Kutai Timur,71.5,75.32,13.02,75.53,8.81,Tidak Perlu Pembangunan
LAMPUNG,68.86,72.69,12.78,71.81,10.69,Tidak Perlu Pembangunan
Labuhan Batu,67.92,71.9,13.26,74.18,7.84,Tidak Perlu Pembangunan
Labuhan Batu Selatan,66.72,70.71,13.53,73.67,7.73,Tidak Perlu Pembangunan
Labuhan Batu Utara,67.59,71.48,13.58,74.4,8.98,Tidak Perlu Pembangunan
Lahat,64.17,68.07,12.45,69.77,14.14,Perlu Pembangunan
Lamandau,67.33,71.3,12.53,72.25,3.25,Tidak Perlu Pembangunan
Lamongan,70.53,74.34,14.03,75.13,12.16,Tidak Perlu Pembangunan
Lampung Barat,65.58,69.58,12.3,69.84,10.68,Perlu Pembangunan
Lampung Selatan,67.4,71.33,12.65,70.28,12.57,Tidak Perlu Pembangunan
Lampung Tengah,67.84,71.81,13.17,72.37,10.37,Tidak Perlu Pembangunan
Lampung Timur,68.77,72.68,12.98,71.84,13.19,Tidak Perlu Pembangunan
Lampung Utara,67.26,71.24,12.56,69.62,16.92,Perlu Pembangunan
Landak,71.05,74.88,12.54,69.08,8.98,Perlu Pembangunan
Langkat,66.98,70.89,13.28,72.73,9.04,Tidak Perlu Pembangunan
Lanny Jaya,64.02,68.01,9.44,51.59,34.12,Perlu Pembangunan
Lebak,65.33,69.24,12.11,65.86,8.44,Perlu Pembangunan
Lebong,61.29,65.38,12.91,69.27,10.45,Perlu Pembangunan
Lembata,65.24,69.06,12.47,66.62,24.22,Perlu Pembangunan
Lima Puluh Kota,67.84,71.76,13.42,71.14,6.92,Tidak Perlu Pembangunan
Lingga,60.47,64.23,12.65,68.19,9.99,Perlu Pembangunan
Lombok Barat,65.26,69.08,13.99,70.67,12.65,Tidak Perlu Pembangunan
Lombok Tengah,64.46,68.25,13.89,69.17,12.07,Perlu Pembangunan
Lombok Timur,64.23,68.02,14.07,69.23,14.51,Perlu Pembangunan
Lombok Utara,65.42,69.24,13.02,67.24,23.96,Perlu Pembangunan
Lumajang,68.19,72.15,12.41,68.8,8.65,Perlu Pembangunan
Luwu,68.42,72.34,13.43,72.79,11.7,Tidak Perlu Pembangunan
Luwu Timur,68.6,72.57,13.18,74.95,6.55,Tidak Perlu Pembangunan
Luwu Utara,66.6,70.62,12.61,72.07,11.24,Tidak Perlu Pembangunan
MALUKU,64.23,68.05,14.09,71.57,16.05,Perlu Pembangunan
MALUKU UTARA,66.55,70.44,13.75,71.03,6.32,Tidak Perlu Pembangunan
Madiun,69.52,73.39,13.27,73.74,10.63,Tidak Perlu Pembangunan
Magelang,71.99,75.73,12.62,71.99,10.83,Tidak Perlu Pembangunan
Magetan,70.67,74.52,14.08,75.87,9.32,Tidak Perlu Pembangunan
Majalengka,68.58,72.37,12.27,69.74,10.82,Perlu Pembangunan
Majene,59.87,63.53,13.72,69.42,13.64,Perlu Pembangunan
Malaka,63.04,66.88,12.83,62.73,13.92,Perlu Pembangunan
Malang,70.64,74.46,13.49,72.68,8.98,Tidak Perlu Pembangunan
Malinau,71.29,71.69,13.35,73.9,6.94,Tidak Perlu Pembangunan
Maluku Barat Daya,60.65,64.37,12.71,64.86,27.95,Perlu Pembangunan
Maluku Tengah,64.44,68.32,14.67,73.21,17.67,Perlu Pembangunan
Maluku Tenggara,63.17,66.99,12.91,68.24,21.22,Perlu Pembangunan
Mamasa,68.92,72.83,12.6,68.37,14.2,Perlu Pembangunan
Mamberamo Raya,56.29,59.69,12.04,55.0,30.29,Perlu Pembangunan
Mamberamo Tengah,61.91,65.59,9.78,50.72,35.27,Perlu Pembangunan
Mamuju,65.73,69.68,13.29,70.4,7.15,Tidak Perlu Pembangunan
Mamuju Tengah,66.5,70.48,12.68,68.36,7.72,Perlu Pembangunan
Mandailing Natal,60.74,64.47,13.87,69.33,8.69,Perlu Pembangunan
Manggarai,65.1,69.0,13.73,67.28,19.01,Perlu Pembangunan
Manggarai Barat,65.4,69.38,12.54,66.65,16.74,Perlu Pembangunan
Manggarai Timur,66.1,70.01,12.66,64.2,24.9,Perlu Pembangunan
Manokwari,66.89,70.77,13.79,73.83,18.45,Tidak Perlu Pembangunan
Manokwari Selatan,65.68,69.52,12.78,62.45,26.83,Perlu Pembangunan
Mappi,63.46,67.15,11.29,61.51,25.7,Perlu Pembangunan
Maros,66.98,71.04,13.51,72.11,9.32,Tidak Perlu Pembangunan
Maybrat,63.31,67.17,13.51,61.83,29.18,Perlu Pembangunan
Melawi,71.04,74.81,11.37,68.66,10.62,Perlu Pembangunan
Merangin,69.4,73.18,12.26,71.66,8.4,Tidak Perlu Pembangunan
Merauke,65.4,68.94,14.48,72.73,10.19,Tidak Perlu Pembangunan
Mesuji,66.18,70.21,11.82,66.46,6.31,Perlu Pembangunan
Mimika,70.52,74.23,13.16,76.85,14.18,Tidak Perlu Pembangunan
Minahasa,69.15,73.04,14.19,77.74,6.53,Tidak Perlu Pembangunan
Minahasa Selatan,67.95,71.92,13.02,74.17,8.97,Tidak Perlu Pembangunan
Minahasa Tenggara,68.18,72.09,12.6,72.66,11.72,Tidak Perlu Pembangunan
Minahasa Utara,69.44,73.27,13.08,75.89,6.95,Tidak Perlu Pembangunan
Mojokerto,70.64,74.43,12.99,75.98,9.37,Tidak Perlu Pembangunan
Morowali,67.08,71.15,13.39,73.54,11.55,Tidak Perlu Pembangunan
Morowali Utara,67.55,71.64,12.44,70.58,11.95,Tidak Perlu Pembangunan
Muara Enim,67.37,70.97,12.02,71.0,9.79,Tidak Perlu Pembangunan
Muaro Jambi,69.42,73.26,13.37,71.91,3.65,Tidak Perlu Pembangunan
Mukomuko,64.8,68.64,12.87,70.63,10.76,Perlu Pembangunan
Muna,68.22,72.52,14.17,71.05,13.78,Tidak Perlu Pembangunan
Muna Barat,68.2,72.42,12.74,68.06,13.38,Perlu Pembangunan
Murung Raya,67.48,71.46,12.05,70.03,6.58,Perlu Pembangunan
Musi Banyuasin,66.61,70.79,12.33,70.12,12.88,Tidak Perlu Pembangunan
Musi Rawas,66.21,70.21,12.23,68.95,13.44,Perlu Pembangunan
Musi Rawas Utara,63.8,67.64,11.9,67.4,17.38,Perlu Pembangunan
NUSA TENGGARA BARAT,64.81,68.66,13.98,70.93,12.91,Perlu Pembangunan
NUSA TENGGARA TIMUR,65.28,69.11,13.23,67.39,19.48,Perlu Pembangunan
Nabire,65.98,70.08,12.82,71.77,24.0,Perlu Pembangunan
Nagan Raya,67.24,71.19,14.18,71.72,16.94,Tidak Perlu Pembangunan
Nagekeo,65.26,69.1,12.69,67.72,12.3,Perlu Pembangunan
Natuna,63.32,67.17,13.94,74.56,5.04,Perlu Pembangunan
Nduga,53.71,57.03,4.45,36.3,36.28,Perlu Pembangunan
Ngada,66.04,70.05,12.75,69.52,11.87,Perlu Pembangunan
Nganjuk,69.61,73.49,13.18,74.23,10.17,Tidak Perlu Pembangunan
Ngawi,70.46,74.25,12.89,73.09,13.81,Tidak Perlu Pembangunan
Nias,67.79,71.7,13.31,65.55,14.89,Perlu Pembangunan
Nias Barat,67.07,70.99,12.99,64.67,22.68,Perlu Pembangunan
Nias Selatan,66.87,70.76,12.92,65.02,16.32,Perlu Pembangunan
Nias Utara,67.52,71.45,13.37,65.62,21.5,Perlu Pembangunan
Nunukan,70.63,72.21,12.69,68.52,5.73,Perlu Pembangunan
Ogan Ilir,63.63,67.49,12.42,69.4,12.3,Perlu Pembangunan
Ogan Komering Ilir,66.44,70.62,11.98,69.33,12.08,Perlu Pembangunan
Ogan Komering Ulu,65.99,70.19,13.0,71.55,10.68,Tidak Perlu Pembangunan
Ogan Komering Ulu Selatan,65.08,68.98,11.82,67.65,9.86,Perlu Pembangunan
Ogan Komering Ulu Timur,67.17,71.12,12.49,71.55,9.75,Tidak Perlu Pembangunan
PAPUA,64.15,67.79,13.72,73.0,17.26,Perlu Pembangunan
PAPUA BARAT,64.33,68.05,13.17,67.02,21.66,Perlu Pembangunan
Pacitan,70.11,73.95,12.69,70.74,13.08,Tidak Perlu Pembangunan
Padang Lawas,65.18,69.04,13.87,71.27,7.87,Tidak Perlu Pembangunan
Padang Lawas Utara,65.2,69.18,13.54,72.32,8.97,Tidak Perlu Pembangunan
Padang Pariaman,66.94,70.89,14.2,73.1,6.27,Tidak Perlu Pembangunan
Pakpak Bharat,63.94,67.84,13.91,70.36,6.87,Perlu Pembangunan
Pamekasan,65.62,69.63,13.69,68.49,13.41,Perlu Pembangunan
Pandeglang,62.82,66.68,13.74,66.99,9.18,Perlu Pembangunan
Pangandaran,69.75,73.48,12.31,69.85,8.75,Perlu Pembangunan
Paniai,64.36,68.51,10.54,58.69,37.07,Perlu Pembangunan
Parigi Moutong,62.25,66.18,12.52,67.49,14.2,Perlu Pembangunan
Pasaman,65.53,69.55,13.52,68.89,6.74,Perlu Pembangunan
Pasaman Barat,65.69,69.94,13.72,70.93,7.0,Tidak Perlu Pembangunan
Paser,70.86,74.84,13.38,74.7,8.63,Tidak Perlu Pembangunan
Pasuruan,68.21,72.18,12.78,70.73,8.63,Tidak Perlu Pembangunan
Pati,74.28,78.1,12.98,74.1,9.17,Tidak Perlu Pembangunan
Pegunungan Arfak,65.35,69.17,11.8,58.73,31.76,Perlu Pembangunan
Pegunungan Bintang,62.42,66.41,7.01,49.36,28.95,Perlu Pembangunan
Pekalongan,71.84,75.6,12.46,71.84,8.95,Tidak Perlu Pembangunan
Pelalawan,69.25,73.12,12.91,74.08,8.49,Tidak Perlu Pembangunan
Pemalang,71.65,75.46,12.02,68.55,14.92,Perlu Pembangunan
Penajam Paser Utara,70.05,74.05,12.87,73.9,6.69,Tidak Perlu Pembangunan
Penukal Abab Lematang Ilir,66.1,70.28,12.5,67.48,9.82,Perlu Pembangunan
Pesawaran,67.12,71.05,12.63,68.52,11.86,Perlu Pembangunan
Pesisir Barat,61.71,65.52,12.16,66.73,12.64,Perlu Pembangunan
Pesisir Selatan,68.93,72.85,13.37,72.02,7.49,Tidak Perlu Pembangunan
Pidie,64.95,68.85,14.52,72.31,18.59,Tidak Perlu Pembangunan
Pidie Jaya,68.21,72.08,15.01,75.16,18.28,Tidak Perlu Pembangunan
Pinrang,67.88,71.56,13.28,73.55,8.55,Tidak Perlu Pembangunan
Pohuwato,62.38,66.14,12.48,68.02,17.11,Perlu Pembangunan
Polewali Mandar,60.6,64.34,13.5,66.22,15.66,Perlu Pembangunan
Ponorogo,70.9,74.69,13.78,73.01,9.11,Tidak Perlu Pembangunan
Poso,69.25,73.06,13.75,72.87,14.23,Tidak Perlu Pembangunan
Pringsewu,68.25,72.16,12.93,72.29,8.32,Tidak Perlu Pembangunan
Probolinggo,65.34,69.31,12.64,68.29,16.45,Perlu Pembangunan
