nama_daerah,AHHL,AHHP,HLS,IPM,PPM,Predicted_ANN
Tanah Datar,68.12,72.04,15.05,74.9,4.28,Tidak Perlu Pembangunan
Tanah Laut,67.62,71.52,12.43,71.43,3.74,Tidak Perlu Pembangunan
Tangerang,67.93,71.84,12.88,74.09,6.55,Tidak Perlu Pembangunan
Tanggamus,66.67,70.56,12.33,68.52,10.28,Perlu Pembangunan
Tanjung Jabung Barat,66.13,70.16,12.68,69.93,9.54,Perlu Pembangunan
Tanjung Jabung Timur,64.42,68.23,12.21,67.54,10.14,Perlu Pembangunan
Tapanuli Selatan,63.05,66.82,13.72,72.14,6.92,Perlu Pembangunan
Tapanuli Tengah,65.19,69.17,13.5,71.52,11.8,Tidak Perlu Pembangunan
Tapanuli Utara,66.72,70.7,13.74,75.23,8.21,Tidak Perlu Pembangunan
Tapin,68.62,72.47,12.34,72.51,3.33,Tidak Perlu Pembangunan
Tasikmalaya,67.78,71.59,12.64,68.36,10.23,Perlu Pembangunan
Tebo,67.96,71.98,12.93,71.32,6.12,Tidak Perlu Pembangunan
Tegal,69.83,73.61,12.96,70.77,6.81,Tidak Perlu Pembangunan
Teluk Bintuni,59.21,62.81,12.62,66.75,26.99,Perlu Pembangunan
Teluk Wondama,58.46,62.03,11.91,62.36,28.47,Perlu Pembangunan
Temanggung,73.81,77.57,12.62,71.87,8.67,Tidak Perlu Pembangunan
Timor Tengah Selatan,64.51,68.39,12.62,64.36,24.68,Perlu Pembangunan
Timor Tengah Utara,65.09,68.96,13.36,65.83,20.89,Perlu Pembangunan
Tojo Una-Una,63.96,67.75,12.43,66.97,16.36,Perlu Pembangunan
Toli-Toli,64.27,68.04,13.17,68.37,12.45,Perlu Pembangunan
Tolikara,63.95,67.68,9.03,52.05,31.22,Perlu Pembangunan
Toraja Utara,71.46,75.23,13.43,71.85,10.73,Tidak Perlu Pembangunan
Trenggalek,71.95,75.65,12.63,72.24,10.5,Tidak Perlu Pembangunan
Tuban,69.58,73.45,12.54,71.23,14.36,Tidak Perlu Pembangunan
Tulang Bawang Barat,68.02,71.95,12.12,68.46,7.22,Perlu Pembangunan
Tulangbawang,67.98,71.94,12.3,70.66,7.88,Tidak Perlu Pembangunan
Tulungagung,72.27,75.96,13.36,75.09,6.28,Tidak Perlu Pembangunan
Wajo,65.41,69.41,13.32,71.52,6.47,Tidak Perlu Pembangunan
Wakatobi,68.34,72.6,13.53,72.02,14.36,Tidak Perlu Pembangunan
Waropen,64.51,68.31,12.85,66.92,29.85,Perlu Pembangunan
Way Kanan,67.41,71.38,12.44,69.31,10.43,Perlu Pembangunan
Wonogiri,74.44,78.13,12.61,72.55,10.71,Tidak Perlu Pembangunan
Wonosobo,70.01,73.84,11.81,69.82,15.28,Perlu Pembangunan
Yahukimo,64.15,67.94,8.05,51.98,33.82,Perlu Pembangunan
Yalimo,63.4,67.37,9.8,51.85,30.02,Perlu Pembangunan
